IDIndikator;skrIndikator;IDCOICOP;nCOICOP;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200701;2007/januar;102.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200702;2007/februar;101.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200703;2007/mart;102.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200704;2007/april;103.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200705;2007/maj;105.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200706;2007/jun;105.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200707;2007/jul;105.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200708;2007/avgust;107.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200709;2007/septembar;109.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200710;2007/oktobar;110.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200711;2007/novembar;111.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200712;2007/decembar;113.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200801;2008/januar;114.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200802;2008/februar;114.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200803;2008/mart;116.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200804;2008/april;118.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200805;2008/maj;120.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200806;2008/jun;121.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200807;2008/jul;119.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
